Title,Published_Data,Views,Likes,Comments
LIVE Q&A | SQL Bootcamp Starts 15th Jun – Last Chance to Join! 🚀,2025-06-01,6341,152,17
Top 3 SQL Interview Questions You Must Know (With Answers),2025-05-20,24935,786,71
Solving an SQL Problem during Data Analyst Interview,2024-12-16,18257,547,65
Solving the most complex SQL Problem on LeetCode | SQL Interview Question and Answer,2024-09-18,22380,718,47
SQL Case Study - Bike Rental Shop | Practice SQL Queries,2024-09-10,21126,673,42
Learn Basic SQL in 3.5 hrs | Complete SQL Beginner Course,2024-08-30,159556,3827,153
Amazon Interview | SQL Interview Problem asked during Amazon Interview,2024-06-23,44088,1356,134
Super Interesting SQL Problem | Practice SQL Queries,2024-06-03,26311,918,62
REAL SQL Interview PROBLEM by Capgemini | Solving SQL Queries,2024-05-22,98638,3002,193
Student Result Generator SQL Interview Query - 30 | #30DaySQLQueryChallenge,2024-03-30,15138,414,77
Solving an INTERMEDIATE SQL Interview Query - 29 | #30DaySQLQueryChallenge,2024-03-29,10529,290,47
SPLIT & JOIN - SQL Interview Problem - 28 | #30DaySQLQueryChallenge,2024-03-28,9449,225,44
Solving a Complex SQL Interview Problem - 27 | #30DaySQLQueryChallenge,2024-03-27,8820,271,61
"Lowest Token No - SQL Interview Query 26 | SQL Problem Level ""EASY""",2024-03-26,6818,237,35
"Data Analyst Interview Problem - SQL Interview Query 25 | SQL Problem Level ""EASY""",2024-03-25,9133,332,23
"REGEX in SQL to find Valid Email Ids - SQL Interview Query 24 | SQL Problem Level ""EASY""",2024-03-24,14485,411,22
"LEETCODE - Passenger Bus Problem - SQL Interview Query 23| SQL Problem Level ""HARD""",2024-03-23,9718,261,25
"IPL Winning Streak - SQL Interview Query 22 | SQL Problem Level ""HARD""",2024-03-22,9347,259,30
"Popular Posts - SQL Interview Query 21 | SQL Problem Level ""MEDIUM""",2024-03-21,7487,227,24
"Median Age - SQL Interview Query 20 | SQL Problem Level ""MEDIUM""",2024-03-20,8296,243,30
"FREE Pizzas - SQL Interview Query 19 | SQL Problem Level ""MEDIUM""",2024-03-19,8839,292,50
"Employee Attendance - SQL Interview Query 18 | SQL Problem Level ""MEDIUM""",2024-03-18,8901,330,24
"Consecutive User Logins - SQL Interview Query 17 | SQL Problem Level ""MEDIUM""",2024-03-17,12600,384,45
"COVID Cases - SQL Interview Query 16 | SQL Problem Level ""MEDIUM""",2024-03-16,8762,289,42
"Mutual Friends - SQL Interview Query 15 | SQL Problem Level ""HARD""",2024-03-15,10375,314,41
"Find Missing Data - SQL Interview Query 14 | SQL Problem Level ""MEDIUM""",2024-03-14,10726,360,59
"Count Employees - SQL Interview Query 13 | SQL Problem Level ""EASY""",2024-03-13,10187,343,52
"Split Hierarchy - SQL Interview Query 12 | SQL Problem Level ""HARD""",2024-03-12,12198,335,50
"Remove Outliers - SQL Interview Query 11 | SQL Problem Level ""MEDIUM""",2024-03-11,11703,390,83
"Auto Repair - SQL Interview Query 10 | SQL Problem Level ""HARD""",2024-03-10,12491,384,68
"Merge Products - SQL Interview Query 9 | SQL Problem Level ""EASY""",2024-03-09,13583,382,38
"Add Missing Values - SQL Interview Query 8 | SQL Problem Level ""MEDIUM""",2024-03-08,14318,434,92
"Find Relevant Dates - SQL Interview Query 7 | SQL Problem Level ""MEDIUM""",2024-03-07,16317,449,68
"Student Performance - SQL Interview Query 6 | SQL Problem Level ""EASY""",2024-03-06,16685,619,55
"Salary Report Generator - SQL Interview Query 5 | SQL Problem Level ""MEDIUM""",2024-03-05,21778,527,84
